 Iter cont_resid imp_resid energy_resid
1830 2.577314 1.630586 1.622166
1840 2.518720 1.573126 1.590007
1850 2.505083 1.528085 1.582755
1860 2.416426 1.490801 1.522773
1870 2.350407 1.469180 1.473473
1880 2.267979 1.472160 1.415602
1890 2.187023 1.464544 1.362209
1900 2.146933 1.439608 1.343206
1910 2.153385 1.358380 1.357410
1920 2.111302 1.305559 1.332513
1930 1.924553 1.353940 1.196335
1940 1.660415 1.384295 1.001918
1950 1.656425 1.243792 1.064806
1960 1.839798 1.045943 1.244223
1970 1.935318 0.974513 1.342636
1980 1.877694 1.187035 1.308176
1990 1.785337 1.344908 1.244611
2000 1.645277 1.404765 1.149911
2010 1.369189 1.643751 0.994444
2020 1.110309 1.786454 0.831462
2030 1.041267 1.827333 0.860497
2040 1.082612 1.971829 0.872637
2050 1.465953 1.843379 1.181397
2060 1.435687 1.800124 1.175502
2070 1.345137 1.854566 1.126529
2080 1.505068 1.802668 1.224187
2090 1.449485 1.875023 1.189209
2100 1.567484 1.863662 1.254395
2110 1.623726 1.866918 1.286219
2120 1.632804 1.870656 1.288305
2130 1.656084 1.855724 1.307379
2140 1.638497 1.854208 1.299465
2150 1.630528 1.861255 1.291183
2160 1.651457 1.858714 1.306784
2170 1.645530 1.848448 1.302978
2180 1.594197 1.838532 1.268035
2190 1.547393 1.805584 1.238398
2200 1.573658 1.746499 1.251098
2210 1.622552 1.678863 1.278344
2220 1.566555 1.657638 1.231834
2230 1.469842 1.677301 1.148257
2240 1.387340 1.675240 1.082492
2250 1.187919 1.612582 0.944129
2260 0.992662 1.528024 0.819244
2270 0.846283 1.542592 0.685624
2280 0.958885 1.479139 0.760041
2290 1.192181 1.156678 0.907450
2300 1.187960 1.110296 0.914191
2310 1.043545 1.296107 0.785936
2320 1.034666 1.127247 0.744158
2330 1.274559 1.069355 0.930481
2340 1.203593 1.155061 0.867230
2350 1.298330 1.154326 0.938121
2360 1.245331 1.136057 0.890815
2370 1.216455 1.149651 0.860013
2380 1.195585 1.181258 0.831571
2390 1.214771 1.128176 0.859053
2400 1.278366 1.027905 0.892978
2410 1.333613 0.946667 0.933165
2420 1.337093 0.893253 0.942183
2430 1.281832 0.919342 0.883595
2440 1.154506 0.988360 0.775861
2450 1.046428 0.966676 0.675479
2460 1.052160 0.837677 0.672022
2470 1.178832 0.726764 0.777975
2480 1.349302 0.691827 0.906021
2490 1.416027 0.731941 0.958277
2500 1.365688 0.833146 0.919014
2510 1.323020 0.889292 0.872784
2520 1.321020 0.887953 0.868929
2530 1.301932 0.910223 0.856530
2540 1.260877 0.878563 0.829029
2550 1.209888 0.819105 0.782020
2560 1.139146 0.798331 0.717439
2570 1.134007 0.772868 0.701332
2580 1.189378 0.703092 0.735274
2590 1.234194 0.619526 0.769479
2600 1.235964 0.621871 0.770858
2610 1.196758 0.649717 0.739029
2620 1.164322 0.658886 0.707272
2630 1.149147 0.657528 0.695353
2640 1.140606 0.651807 0.689235
2650 1.130731 0.643105 0.681269
2660 1.116359 0.642847 0.669235
2670 1.097005 0.643231 0.654814
2680 1.092095 0.630085 0.651276
2690 1.089882 0.607545 0.651237
2700 1.087491 0.584434 0.650684
2710 1.077962 0.570073 0.644682
2720 1.064120 0.564013 0.635599
2730 1.052019 0.559717 0.626876
2740 1.041475 0.555766 0.618358
2750 1.034498 0.552310 0.614301
2760 1.030033 0.545546 0.612987
2770 1.023378 0.539204 0.609165
2780 1.014989 0.530940 0.603123
2790 1.004622 0.518701 0.596121
2800 0.994774 0.505423 0.589183
2810 0.986831 0.492633 0.583129
2820 0.984886 0.482386 0.582338
2830 0.984184 0.478901 0.583516
2840 0.977687 0.478883 0.580288
2850 0.963961 0.479028 0.571976
2860 0.946868 0.478995 0.561435
2870 0.932093 0.477275 0.553329
2880 0.919295 0.473430 0.546131
2890 0.907077 0.466723 0.537628
2900 0.895640 0.457736 0.529954
2910 0.884483 0.447434 0.523156
2920 0.872221 0.438268 0.516341
2930 0.858556 0.431876 0.507578
2940 0.844512 0.428946 0.496722
2950 0.829433 0.428921 0.486531
2960 0.812560 0.429424 0.475971
2970 0.794899 0.427764 0.465813
2980 0.778293 0.421715 0.456681
2990 0.762672 0.412247 0.449720
3000 0.749160 0.403005 0.445091
3010 0.735202 0.396921 0.436849
3020 0.717580 0.405388 0.422386
3030 0.683348 0.442167 0.394651
3040 0.634595 0.479472 0.357400
3050 0.586488 0.500622 0.328156
3060 0.566578 0.488781 0.331604
3070 0.590139 0.441065 0.378819
3080 0.645158 0.395027 0.439860
3090 0.693195 0.379760 0.480645
3100 0.727891 0.377990 0.502005
3110 0.732146 0.428569 0.509356
3120 0.696525 0.528755 0.485305
3130 0.624842 0.619388 0.433712
3140 0.533639 0.672192 0.365719
3150 0.441332 0.692527 0.303415
3160 0.361919 0.729810 0.249972
3170 0.349040 0.757884 0.259860
3180 0.420338 0.769610 0.327407
3190 0.498093 0.752729 0.401985
3200 0.544988 0.710817 0.438416
3210 0.561785 0.719674 0.450132
3220 0.569034 0.714004 0.456842
3230 0.584075 0.705351 0.475434
3240 0.580300 0.712259 0.475929
3250 0.568841 0.714139 0.473161
3260 0.570397 0.711578 0.475173
3270 0.564528 0.712180 0.469222
3280 0.548746 0.713586 0.457279
3290 0.542965 0.708548 0.449858
3300 0.541545 0.696955 0.444791
3310 0.529694 0.684812 0.434279
3320 0.523581 0.671403 0.425229
3330 0.538050 0.650157 0.432641
3340 0.546737 0.625654 0.437761
3350 0.534176 0.621964 0.427010
3360 0.500396 0.612448 0.398753
3370 0.452261 0.592832 0.356444
3380 0.385967 0.577649 0.298434
3390 0.316057 0.566729 0.229090
3400 0.348265 0.535456 0.248747
3410 0.391310 0.476006 0.281261
3420 0.416098 0.399264 0.296364
3430 0.417940 0.366104 0.293735
3440 0.408420 0.353605 0.279058
3450 0.400682 0.342775 0.261962
3460 0.400506 0.336993 0.246208
3470 0.406082 0.335012 0.238407
3480 0.413688 0.336036 0.239801
3490 0.420368 0.338262 0.242423
3500 0.423334 0.339656 0.242599
3510 0.423374 0.339940 0.242406
3520 0.425343 0.336447 0.242138
3530 0.429424 0.333709 0.248262
3540 0.438715 0.339350 0.258276
3550 0.453510 0.343482 0.274244
3560 0.470547 0.345060 0.291993
3570 0.490459 0.344052 0.310401
3580 0.509904 0.339224 0.328057
3590 0.528164 0.330850 0.343011
