 Iter cont_resid imp_resid energy_resid
1830 0.879278 1.050313 0.769071
1840 0.830093 1.088435 0.702857
1850 0.978997 0.938399 0.855341
1860 0.984584 0.994683 0.858161
1870 0.852507 1.132305 0.712721
1880 0.911678 1.113575 0.765062
1890 1.008420 0.964000 0.865375
1900 0.931642 1.065959 0.783489
1910 0.874095 1.164061 0.716839
1920 0.981940 1.034724 0.829305
1930 0.985944 1.020293 0.832921
1940 0.902095 1.159084 0.742104
1950 0.960645 1.089797 0.798734
1960 0.998804 1.004053 0.834783
1970 0.939959 1.099335 0.768869
1980 0.951159 1.085004 0.789716
1990 0.988056 1.025568 0.825245
2000 0.970357 1.042110 0.803265
2010 0.972053 1.054156 0.797134
2020 0.972508 1.037821 0.801934
2030 0.983224 1.012869 0.814717
2040 0.979111 1.003388 0.812021
2050 0.960552 1.023411 0.789040
2060 0.992261 0.988626 0.815981
2070 0.991730 0.977003 0.815916
2080 0.965454 0.998970 0.794614
2090 0.985144 0.981214 0.815140
2100 0.990689 0.960535 0.815270
2110 0.985311 0.957333 0.811301
2120 0.980205 0.960956 0.806411
2130 0.977679 0.954693 0.806723
2140 0.984562 0.940868 0.815910
2150 0.988264 0.930840 0.814023
2160 0.976331 0.933070 0.801351
2170 0.974949 0.932289 0.808223
2180 0.965367 0.928666 0.799145
2190 0.967706 0.927933 0.796462
2200 0.966166 0.926615 0.796339
2210 0.954069 0.923267 0.785748
2220 0.948201 0.924028 0.780301
2230 0.939228 0.927712 0.769578
2240 0.926902 0.930575 0.754019
2250 0.911683 0.932111 0.744245
2260 0.890963 0.936083 0.730634
2270 0.875689 0.943223 0.714981
2280 0.864382 0.950146 0.700775
2290 0.844115 0.952755 0.685256
2300 0.825242 0.951181 0.674148
2310 0.815229 0.946546 0.666302
2320 0.810844 0.939981 0.656357
2330 0.801568 0.931643 0.654074
2340 0.789726 0.922527 0.652222
2350 0.785835 0.915151 0.651151
2360 0.787994 0.907501 0.651262
2370 0.781479 0.902531 0.650558
2380 0.770535 0.900689 0.653311
2390 0.766443 0.901601 0.655314
2400 0.767632 0.904673 0.655118
2410 0.764198 0.911055 0.653109
2420 0.756517 0.920115 0.651689
